order_id,order_date,customer,region,product,category,quantity,unit_price,discount
1001,2026-01-02,Acme Retail,South,Laptop,Electronics,2,65000,0.05
1002,2026-01-05,Nova Stores,West,Office Chair,Furniture,5,8500,0.10
1003,2026-01-15,Prime Mart,North,Headphones,Electronics,12,2500,0.00
1004,2026-02-03,Acme Retail,South,Standing Desk,Furniture,3,18000,0.08
1005,2026-02-10,UrbanKart,East,Monitor,Electronics,4,22000,0.07
1006,2026-02-17,Nova Stores,West,Notebook,Stationery,100,80,0.00
1007,2026-03-01,Prime Mart,North,Printer,Electronics,2,14500,0.03
1008,2026-03-09,UrbanKart,East,Desk Lamp,Furniture,15,1200,0.05
1009,2026-03-20,Acme Retail,South,Keyboard,Electronics,20,1500,0.02
1010,2026-04-04,Nova Stores,West,Mouse,Electronics,25,900,0.00
1011,2026-04-18,Prime Mart,North,Whiteboard,Office Supplies,6,4500,0.06
1012,2026-05-01,UrbanKart,East,Laptop,Electronics,1,68000,0.04
